mcNumber,legalName,dbaName,entityType,operationType,phone,email,physicalAddress,mailingAddress,city,state,zip,url
MC-723306,DAP TRANS INC,,CARRIER,Property,(331) 333-2700,DAPTRANSINC@GMAIL.COM,"4573 OPAL DR, HOFFMAN ESTATES, IL 60192","4573 OPAL DR, HOFFMAN ESTATES, IL 60192",HOFFMAN ESTATES,IL,60192,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723306
MC-723319,COAST TO COAST HEAVY TRANSPORTATION SERVICE INC,COAST TO COAST HEAVY,CARRIER,Property,(754) 224-1322,,"6201 SW 39 ST, DAVIE, FL 33314","6201 SW 39 ST, DAVIE, FL 33314",DAVIE,FL,33314,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723319
MC-723328,SAMBA TRUCKING INC,,CARRIER,Property,(708) 243-7106,RJOBA@SBCGLOBAL.NET,"9702 MCVICKER AVE, OAK LAWN, IL 60453","9702 MCVICKER AVE, OAK LAWN, IL 60453",OAK LAWN,IL,60453,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723328
MC-723335,DOVE TRUCKING INC,,CARRIER,Property,(612) 670-0896,VALGOLOVA@GMAIL.COM,"6481 153RD WAY NW, RAMSEY, MN 55303","6481 153RD WAY NW, RAMSEY, MN 55303",RAMSEY,MN,55303,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723335
MC-723351,MOVIT LLC,INDIAN RIVER VAN LINES,CARRIER,Property,(772) 589-0806,MRSMALLMOVE@BELLSOUTH.NET,"474 5TH STREET SW, VERO BEACH, FL 32962","474 5TH STREET SW, VERO BEACH, FL 32962",VERO BEACH,FL,32962,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723351
MC-740112,HARRY F THOMPSON GARAGE INC,,CARRIER,Property,(724) 929-8515,VULCAN882@YAHOO.COM,"1714 ROSTRAVER RD, BELLE VERNON, PA 15012","1714 ROSTRAVER RD, BELLE VERNON, PA 15012",BELLE VERNON,PA,15012,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740112
MC-740122,HIGH COUNTRY SALES & TRADING INC,,CARRIER,Property,(303) 424-1710,NIKKI@HIGHCOUNTRYSALES.COM,"23005 COUNTY ROAD 30, HUDSON, CO 80642","4950 SOUTH YOSEMITE ST F2 #305, GREENWOOD VILLAGE, CO 80111",HUDSON,CO,80642,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740122
MC-740125,E W TRANSPORT LLC,,CARRIER,Property,(503) 890-8454,DANOBREZHA@GMAIL.COM,"11105 NE 105TH ST, VANCOUVER, WA 98662","11105 NE 105TH ST, VANCOUVER, WA 98662",VANCOUVER,WA,98662,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740125
MC-740129,KYLE LINDSEY,KYLE LINDSEY TRUCKING,CARRIER,Property,(402) 297-2909,KYLELLINDSEY@GMAIL.COM,"215 CHERRY STREET, MANLEY, NE 68403","PO BOX 52, MANLEY, NE 68403",MANLEY,NE,68403,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740129
MC-740134,OS EXPRESS INC,,CARRIER,Property,(330) 241-8543,OSTRUCKEXPRESS@YAHOO.COM,"5363 HAMILTON RD, MEDINA, OH 44256","5363 HAMILTON RD, MEDINA, OH 44256",MEDINA,OH,44256,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740134
MC-740137,TRS OF VIRGINIA LLC,,CARRIER,Property,(434) 441-6692,DAVIDORRELL@COMCAST.NET,"749 PINEY FOREST RD, DANVILLE, VA 24540","749 PINEY FOREST RD, DANVILLE, VA 24540",DANVILLE,VA,24540,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740137
MC-740139,H & J SERVICES INC,,CARRIER,Property,(580) 237-4613,HJSERVMARK@ATT.NET,"3312 NORTH 16TH, ENID, OK 73701-6735","3312 NORTH 16TH STREET, ENID, OK 73701-6735",ENID,OK,73701-6735,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740139
MC-740150,INLINE STEEL FABRICATORS INC,,CARRIER,Property,(509) 248-4554,SAMANTHA@INLINESTEEL.COM,"2506 S 26TH AVE, YAKIMA, WA 98903","PO BOX 9396, YAKIMA, WA 98909",YAKIMA,WA,98903,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740150
MC-740152,CEVALLOS TRANSPORTATION INC,,CARRIER,Property,(404) 917-9673,,"190 PARIS DRIVE, LAWRENCEVILLE, GA 30043","190 PARIS DRIVE, LAWRENCEVILLE, GA 30043",LAWRENCEVILLE,GA,30043,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740152
MC-740159,UPS LINE INC,,CARRIER,Property,(626) 216-8688,UPS6868@GMAIL.COM,"703 S INMAN RD, WEST COVINA, CA 91791","703 S INMAN RD, WEST COVINA, CA 91791",WEST COVINA,CA,91791,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740159
MC-740162,ULTRA TRANSPORTATION SERVICES LLC,,CARRIER,Property,(615) 280-5556,STATE@ULTRATRANS.US.COM,"304 ROBERT ROSE DRIVE, MURFREESBORO, TN 37129","304 ROBERT ROSE DRIVE, MURFREESBORO, TN 37129",MURFREESBORO,TN,37129,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740162
MC-740168,LTTM LLC,LARRYS TRACTORS TRAILERS AND MORE,CARRIER,Property,(406) 363-7027,LARRYLTTMLLC@GMAIL.COM,"1094 SOUTH 1ST ST, HAMILTON, MT 59840","1094 SOUTH 1ST ST, HAMILTON, MT 59840",HAMILTON,MT,59840,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740168
MC-740171,PLWEXPRESS INC,,CARRIER,Property,(229) 223-0077,PLWEXPRESS.@ROCKETMAIL.COM,"209 WALL ST, VIENNA, GA 31092","209 WALL ST, VIENNA, GA 31092",VIENNA,GA,31092,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740171
MC-740172,CMP TRUCKING LLC,,CARRIER,Property,(570) 220-1271,CMPTRUCKING@GMAIL.COM,"8075 RTE 487, DUSHORE, PA 18614","8075 RTE 487, DUSHORE, PA 18614",DUSHORE,PA,18614,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740172
MC-740176,KENNETH W NULL JR,BIG KENNY'S,CARRIER,Property,(419) 937-2269,BIGKENNY@BRIGHT.NET,"6495 W COUNTY ROAD 592, FOSTORIA, OH 44830","6495 W COUNTY ROAD 592, FOSTORIA, OH 44830",FOSTORIA,OH,44830,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740176
MC-740207,DUANE RICARDO GARRETT,SILVER ROSE TRANSPORT,CARRIER,Property,(478) 952-2285,DUANESILVERROSE@AOL.COM,"26 FIFTH STREET, CUTHBERT, GA 39840","5618 WAYNE DRIVE, LIZELLA, GA 31052",CUTHBERT,GA,39840,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740207
MC-740219,KALF RANCH & TRUCKING LLC,,CARRIER,Property,(641) 919-5695,KALFRANCH@GMAIL.COM,"3355 WAYLAND ROAD, WAYLAND, IA 52654","3355 WAYLAND ROAD, WAYLAND, IA 52654",WAYLAND,IA,52654,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740219
MC-740221,UNIVERSE CARRIER INC,,CARRIER,Property,(773) 577-5795,INFO@UNIVERSECARRIER.COM,"14351 WEBER DR, HUNTLEY, IL 60142","14351 WEBER DR, HUNTLEY, IL 60142",HUNTLEY,IL,60142,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740221
MC-740228,LSMA INC,,CARRIER,Property,(941) 961-2645,LIUTFI828@OUTLOOK.COM,"4097 ABA LANE, NORTH PORT, FL 34287","4097 ABA LANE, NORTH PORT, FL 34287",NORTH PORT,FL,34287,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740228
MC-740229,GULFSHORE PRODUCE INC,,CARRIER,Property,(239) 334-1397,ANITA@GULFSHOREPRODUCE.COM,"2744 EDISON AVE #5, FORT MYERS, FL 33916","2744 EDISON AVE #5, FORT MYERS, FL 33916",FORT MYERS,FL,33916,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740229
MC-740230,LEO'S TRANS LLC,,CARRIER,Property,(413) 231-8545,LEOSTRANSLLC@GMAIL.COM,"14554 HULON RD, CONROE, TX 77306","14554 HULON RD, CONROE, TX 77306",CONROE,TX,77306,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740230
MC-740231,FREIGHT CONTROL TRUCKING INC,,CARRIER,Property,(760) 628-9971,PHINGA143@YAHOO.COM,"11959 AUTUMN WIND LN, VICTORVILLE, CA 92392","12672 LIMONITE AVE 3E #411, EASTVALE, CA 92880",VICTORVILLE,CA,92392,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740231
MC-740246,BDC INC,,CARRIER,Property,(423) 562-7425,BDCTRUCKING@GMAIL.COM,"193 TOWE STRING RD, JACKSBORO, TN 37757","193 TOWE STRING RD, JACKSBORO, TN 37757",JACKSBORO,TN,37757,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740246
MC-740253,HSW LLC,,CARRIER,Property,(574) 238-0319,,"15182 CR 44, GOSHEN, IN 46528","15182 CR 44, GOSHEN, IN 46528",GOSHEN,IN,46528,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740253
MC-740257,SAV TRUCKING INC,,CARRIER,Property,(847) 679-1609,,"8309 RIDGEWAY AVE, SKOKIE, IL 60076","8309 RIDGEWAY AVE, SKOKIE, IL 60076",SKOKIE,IL,60076,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740257
MC-740263,V YOUNG'S TRUCKING LLC,,CARRIER,Property,(813) 323-5238,VALPETERCAR@AOL.COM,"292 DELK AVE, HILDA, SC 29812","292 DELK AVE, HILDA, SC 29812",HILDA,SC,29812,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740263
MC-740267,MOURA ENTERPRISES LLC,,CARRIER,Property,(401) 433-1177,MOURAENTERPRISESLLC@VERIZON.NET,"956 COUNTY ROAD, BARRINGTON, RI 02806","PO BOX 81, BARRINGTON, RI 02806",BARRINGTON,RI,02806,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740267
MC-740271,REGINALD FOSTER,F5 EXPRESS,CARRIER,Property,(731) 697-9997,,"216 LAURISON ST, HALLS, TN 38040","PO BOX 292, HALLS, TN 38040",HALLS,TN,38040,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740271
MC-740273,AGILE TRANSPORTATION INC,,CARRIER,Property,(209) 469-2445,MIKE@AGILETRANS.COM,"11209 N HIGHWAY 99, LODI, CA 95240","PO BOX 598, LODI, CA 95240",LODI,CA,95240,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740273
MC-740290,FIRST TEAM OIL TRANSPORT INC,,CARRIER,Property,(562) 396-4716,MARCO@FIRSTTEAMOIL.COM,"130 MORNING DRIVE, BAKERSFIELD, CA 93306","10608 HALEDON AVE, DOWNEY, CA 90241",BAKERSFIELD,CA,93306,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740290
MC-740312,ROBERT B KEISTER JR,ACE EXCAVATING,CARRIER,Property,(814) 336-9659,ACEEXCAVATING@WINDSTREAM.NET,"30400 STATE HWY 77, CAMBRIDGE SPRINGS, PA 16403","30400 STATE HWY 77, CAMBRIDGE SPRINGS, PA 16403",CAMBRIDGE SPRINGS,PA,16403,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740312
MC-740325,RA MOVING INC,,CARRIER,Property,(630) 742-6713,MEN5277@AOL.COM,"13930 S WELLER DR, PLAINFIELD, IL 60544","13930 S WELLER DR, PLAINFIELD, IL 60544",PLAINFIELD,IL,60544,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740325
MC-740326,BRADLEY ACKERMAN,,CARRIER,Property,(815) 233-2472,BRAD@AERONIC.NET,"8527 E LAMM RD, PECATONICA, IL 61063","8527 E LAMM RD, PECATONICA, IL 61063",PECATONICA,IL,61063,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740326
MC-740335,ZIVALI TRUCKING LLC,,CARRIER,Property,(215) 360-6768,ALPERZIVALI2001@HOTMAIL.COM,"127 BRADFORD CT, BORDENTOWN, NJ 08505","127 BRADFORD CT, BORDENTOWN, NJ 08505",BORDENTOWN,NJ,08505,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740335
MC-740344,SCOTT H SIEMONS,,CARRIER,Property,(641) 257-7038,,"2940 280TH STREET, CHARLES CITY, IA 50616","2940 280TH STREET, CHARLES CITY, IA 50616",CHARLES CITY,IA,50616,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740344
MC-740345,Z-TECH TRANSPORT INC,,CARRIER,Property,(909) 685-8995,,"14249 GAYHEAD RD, APPLE VALLEY, CA 92307","14249 GAYHEAD RD, APPLE VALLEY, CA 92307",APPLE VALLEY,CA,92307,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740345
MC-740346,CS DIESEL INC,,CARRIER,Property,(320) 265-0100,CSDIESEL1@HOTMAIL.COM,"516 WEST KEYSTONE AVE, BEARDSLEY, MN 56211","PO BOX 175, BEARDSLEY, MN 56211",BEARDSLEY,MN,56211,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740346
MC-740349,VANQUISH INVESTMENT GROUP LLC,PACIFIC SERVICE CENTER,CARRIER,Property,(503) 282-4607,KIM@PACIFICSERVICECENTER.COM,"4030 NE BUFFALO STREET, PORTLAND, OR 97211","4030 NE BUFFALO STREET, PORTLAND, OR 97211",PORTLAND,OR,97211,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740349
MC-740352,OVERLAND TRANSPORT INC,,CARRIER,Property,(208) 800-0516,NICK@OVERLANDUS.COM,"518 N SUGAR ST, NAMPA, ID 83687","518 N SUGAR ST, NAMPA, ID 83687",NAMPA,ID,83687,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740352
MC-747137,FORM-A-FEED INC,,CARRIER,Property,(320) 562-2987,CURTGLAESER@FORMAFEED.COM,"740 BOWMAN ST BOX 9, STEWART, MN 55385-0009","P O BOX 9, STEWART, MN 55385-0009",STEWART,MN,55385-0009,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=747137
MC-747140,A&W WAREHOUSING & LOGISTICS,,CARRIER,Property,(770) 844-9790,ACCOUNTING.FCF@GMAIL.COM,"4420 SUGAR CREEK LANE, CUMMING, GA 30041","4224 SHACKLEFORD ROAD, NORCROSSS, GA 30093",CUMMING,GA,30041,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=747140
MC-747142,BLACKEAGLE ENERGY SERVICES,,CARRIER,Property,(970) 532-0600,BILLIE.VARNELL@BLACKEGL.COM,"230 COMMERCE DRIVE, JOHNSTOWN, CO 80534","230 COMMERCE DRIVE, BERTHOUD, CO 80513",JOHNSTOWN,CO,80534,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=747142
MC-747148,AUTO SERVICE ALL POINTS TRANSPORT LLC,ALL4POINTS TRANSPORT,CARRIER,Property,(732) 299-5238,DVDZELADA@YAHOO.COM,"365 SPOTSWOOD GRAVEL HILL RD, MONROE TOWNSHIP, NJ 08831","365 SPOTSWOOD GRAVEL HILL RD, MONROE TOWNSHIP, NJ 08831",MONROE TOWNSHIP,NJ,08831,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=747148
MC-747173,SARAJEVO TRUCKING LLC,,CARRIER,Property,(314) 479-2524,SARAJEVOTRUCKING@GMAIL.COM,"9202 LEMONA DR, ST LOUIS, MO 63123","9202 LEMONA DR, ST LOUIS, MO 63123",ST LOUIS,MO,63123,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=747173
